label,text
"0","У тебя просто неотразимый фирменный стиль. Действительно сложно вспомнить компанию: рынок полон предложений, а информация ошеломляет; но вы сделали хороший запоминающийся логотип"
"1","Привет, Аня! Не спишь там в такую погоду?) Напоминаю, что у нас встреча в 10:00 в понедельник. Не забудь принести отчет!"
"0","Привет, Павел! Все окей. А ты что нового?"
"1","Понял! А у меня новый адрес, если че: цветочная, д 20, кв 3"
"1","Здравствуйте, Сергей Анатольевич! Я хотел бы взять отпуск с 15 по 30 октября. Пожалуйста, подтвердите и ответьте в обратном письме."
"0","Отлично Сходила на выставку в музей, очень понравилось.))"
"0","Привет, Генри! Мы запускаем новый продукт на следующей неделе. Хочешь узнать больше?"
"1","Добрый день, Леонид Иванович. Жду от вас данные по продажам за прошлый месяц"
"0","Рит, Привет!у меня есть несколько идей для нашей презентации. Можем обсудить?"
"0","Как ты? Давно не общались я соскучилась по тебе"
"0","Залетай сюда:"
"1","Напоминаем вам, что действие вашего трудового договора заканчивается 30.10.2025"
"1","Здравствуйте, сертификат во вложении"
"1","Нормально, около 89000 рублей в месяц выходит, на жизнь хватает)"
"1","Прикрепляю сканы паспортов и снилсов для заявления на ЭП"
"0","Здарова! Ты готов к нашей встрече в субботу?"
"0","слышала о новой кофейне в центре города?"
"1","Сформированы отчеты:1. Расчетный листок Файлы отчетов запакованы в архив"
"1","В продолжение телефонного разговора приглашаю Вас и Ваших коллег из отдела 11 октября в 11:00 по Мск на онлайн встречу, где мы расскажем о функционале нашего продукта"
"1","Задача: Согласовать Уведомление о присоединении ООО "КОМПАННИЯ" (для участия в конкурсе) от 06.01.2021 9:20 Описание: Договор с контрагентом ООО "КОМПАННИЯ" Предмет договора: Уведомление о присоединении"
"1","Коллеги добрый день!Звонил руководитель центра кибербезопасности АО по поводу рассылки с нашего домена каких то данных. Нужно оперативно проверить и подготовить отчет"
"1","Елена Леонидовна, здравствуйте. Прикрепляю Вам сертификат на получение ЭП. Вам нужно:1. Распечатать сертификат2. Расписаться в нем3. Подписанный сертификат отсканировать и отправить сюда по почте"
"0","привет, меня зовут Джейсон. Есть минутка?"
"1","Полина Вадимовна, еще раз здравствуйте. Направляю 6 заявлений и документы для выпуска сертификатов КЭП."
"1","Вероника Романовна, здравствуйте. Направляю Вам служебную записку (№97.0192) и счета на оплату."
"0","Доверьтесь нам при онлайн-заказе рецептов.  Ваш домашний источник медицинской информации. Заключение – это то место, где вы устали думать.  Человек рисует мозгом, а не руками.  поэт старше тридцати лет — просто ребенок-переросток.  всегда следует играть честно, если у тебя есть выигрышные карты."
"1","Следующие сотрудники систематически пропускают встречи и нарушают дисциплинарный режим: Иванова А.И., Леонов Д.В."
"0","Приглашаем вас принять участие в вебинаре Демонстрация решений intelas."
"0","привет, как сэкономить на неправильных медицинских услугах более 70%.  IJPharmacy — успешный и проверенный способ и сохранить ваши деньги."
"1","здравствуйте, коллеги, ссылка для подключения во вложении, пароль: afdughf213ads"
"1","Максим Сергеевич, доброе утро!Направляю подписанный сертификат."
"0","Да был на совещании сейчас свободен"
"0","Я ищу своего нового сексуального партнёра, ты подойдешь?"
"0","Компания гарантированно потеряет 10-12 фунтов за 30 дней 10 . 206 1) боремся с риском развития рака!  2 ) похудеете -- гарантированно потеряете 10-12 фунтов за 30 дней 3 ) получите заслуженное алименты на ребенка -- бесплатная юридическая консультация 4 ) присоединитесь к самому быстрорастущему сообществу одиноких людей в сети 5 ) запустите свой личный фотоальбом онлайн !  хорошего дня"
"0","только ей. . .  mdaemon определил ваше сообщение как спам. оно не будет доставлено.  от: projecthoneypot @ projecthoneypot. орг: s. Денхэм @ Capitalspreads. com тема : * * * спам * * * оценка / требование : 25 . 38/08. 00 – только ей. . .  сообщение - идентификатор: да"
"0","Программы ms 2003 доступны для загрузки. Подпишитесь на рассылку по электронной почте. Специальное предложение. Отпишитесь от меня. Найдите 10 лучших новых программ, которые уже в продаже! 1 офис про 20032 Adobe Photoshop 9 . 03 Windows XP Pro 4 Adobe Acrobat 7 Pro 5 Flash MX 20046 Corel Draw 127 Norton Antivirus 20058 Windows 2003 Server 9 alias Maya 6 Wavefrtl 0 Adobe Illustrator 11 Посмотреть другие товары этого производителя Microsoft symantec Клиенты Adobe также купили эти другие товары. . . Microsoft Office Professional Edition * 2003 * microsoftchoose: просмотреть другие продукты Прейскурантная цена: 499 долларов США. 00 цена: 69$. 99 вы экономите: 429 долларов. 01 (86%) наличие: доступно для мгновенной загрузки! код купона: 3 ff 9 kuc Уровень продаж: # 1 системные требования | дата других версий: срок действия купона истекает: 31 августа."
"0","Ты читала новую книгу от Пелевина?"
"1","У меня гипертония, врачи сказали, что это тяжело вылечить но в целом все в порядке"
"1","добрый день! Направляем информацию согласно приказу 172 от 02.02.2022."
